Date,Market,Grade,Min Price (Rs./ Qtl),Max Price (Rs./Qtl),Modal Price (Rs./Qtl),Festival,is_amavasya,is_ekadashi,is_purnima,Tithi,Nakshatra,Day,Month,Year,Week,Temp Max (°C),Rain (mm),Heat Stress,Rain Alert,Agro Advisory
2025-04-19,DINDORI,OTHER,1003.0,1291,1200.0,,0,0,0,Krishna Shashthi,Mula,19,4,2025,16,30,0,No,No,Normal conditions
2025-04-19,YEOLA,OTHER,200.0,1390,1000.0,,0,0,0,Krishna Shashthi,Mula,19,4,2025,16,30,0,No,No,Normal conditions
2025-04-21,LASALGAON(VINCHUR),OTHER,600.0,1501,1200.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,NAMPUR,OTHER,115.0,1420,1200.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,NASIK,OTHER,400.0,1500,1150.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,PIMPALGAON BASWANT(SAYKHEDA),OTHER,400.0,1247,1021.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,LASALGAON(NIPHAD),OTHER,425.0,1254,1150.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,DEVALA,OTHER,105.0,1450,1300.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,DINDORI(VANI),OTHER,900.0,1552,1300.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,KALVAN,OTHER,250.0,1400,1000.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,LASALGAON,OTHER,500.0,1480,1180.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,CHANDVAD,OTHER,600.0,1481,1000.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,SATANA,OTHER,100.0,1505,1250.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,MANMAD,OTHER,200.0,1326,1050.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,PIMPALGAON,OTHER,340.0,1620,1300.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,DINDORI(VANI),OTHER,1000.0,1530,1350.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,MANMAD,OTHER,200.0,1351,1100.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,SATANA,OTHER,100.0,1505,1245.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-21,DEVALA,OTHER,100.0,1470,1300.0,,0,0,0,Krishna Ashtami,Uttara Ashadha,21,4,2025,17,30,0,No,No,Normal conditions
2025-04-22,PIMPALGAON,OTHER,300.0,1800,1350.0,,0,0,0,Krishna Navami,Shravana,22,4,2025,17,30,0,No,No,Normal conditions
2025-04-22,NAMPUR,OTHER,200.0,1435,1250.0,,0,0,0,Krishna Navami,Shravana,22,4,2025,17,30,0,No,No,Normal conditions
2025-04-22,LASALGAON(VINCHUR),OTHER,500.0,1631,1200.0,,0,0,0,Krishna Navami,Shravana,22,4,2025,17,30,0,No,No,Normal conditions
2025-04-22,SINNER,OTHER,300.0,1325,1050.0,,0,0,0,Krishna Navami,Shravana,22,4,2025,17,30,0,No,No,Normal conditions
2025-04-22,YEOLA,OTHER,250.0,1450,1100.0,,0,0,0,Krishna Navami,Shravana,22,4,2025,17,30,0,No,No,Normal conditions
2025-04-22,PIMPALGAON BASWANT(SAYKHEDA),OTHER,450.0,1286,1125.0,,0,0,0,Krishna Navami,Shravana,22,4,2025,17,30,0,No,No,Normal conditions
2025-04-22,CHANDVAD,OTHER,601.0,1451,1150.0,,0,0,0,Krishna Navami,Shravana,22,4,2025,17,30,0,No,No,Normal conditions
2025-04-22,DINDORI,OTHER,1151.0,1286,1200.0,,0,0,0,Krishna Navami,Shravana,22,4,2025,17,30,0,No,No,Normal conditions
