t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
01-01-2022,Onion,168,Nasik,27,Maharashtra,516,Nashik,Other,300,1575,1250
01-01-2022,Onion,169,Lasalgaon,27,Maharashtra,516,Nashik,Other,500,2152,1550
01-01-2022,Onion,170,Pimpalgaon,27,Maharashtra,516,Nashik,Other,450,2627,1750
01-01-2022,Onion,574,Chandvad,27,Maharashtra,516,Nashik,Other,711,1930,1430
01-01-2022,Onion,575,Manmad,27,Maharashtra,516,Nashik,Other,200,1416,1100
01-01-2022,Onion,1815,Sinner,27,Maharashtra,516,Nashik,Other,500,1711,1500
01-01-2022,Onion,2073,Devala,27,Maharashtra,516,Nashik,Other,250,1850,1375
01-01-2022,Onion,2484,Lasalgaon(Niphad),27,Maharashtra,516,Nashik,Other,500,1575,1450
01-01-2022,Onion,2488,Pimpalgaon Baswant(Saykheda),27,Maharashtra,516,Nashik,Other,1000,1801,1400
01-01-2022,Onion,4750,Lasalgaon(Vinchur),27,Maharashtra,516,Nashik,Other,500,1850,1550
01-01-2022,Onion,4764,Nampur,27,Maharashtra,516,Nashik,Other,400,2050,1400
01-01-2022,Onion,10121,Shivsiddha Govind Producer Company Limited Sanchal,27,Maharashtra,516,Nashik,Other,300,2300,1825
01-01-2022,Onion,167,Yeola,27,Maharashtra,516,Nashik,Other,250,1702,1275
03-01-2022,Onion,170,Pimpalgaon,27,Maharashtra,516,Nashik,Other,500,2223,1600
03-01-2022,Onion,169,Lasalgaon,27,Maharashtra,516,Nashik,Other,500,1852,1451
03-01-2022,Onion,168,Nasik,27,Maharashtra,516,Nashik,Other,350,1621,1300
03-01-2022,Onion,10121,Shivsiddha Govind Producer Company Limited Sanchal,27,Maharashtra,516,Nashik,Other,200,2300,1770
03-01-2022,Onion,4764,Nampur,27,Maharashtra,516,Nashik,Other,270,1800,1400
03-01-2022,Onion,4760,Umrane,27,Maharashtra,516,Nashik,Other,900,1801,1450
03-01-2022,Onion,4750,Lasalgaon(Vinchur),27,Maharashtra,516,Nashik,Other,500,1621,1400
03-01-2022,Onion,2488,Pimpalgaon Baswant(Saykheda),27,Maharashtra,516,Nashik,Other,950,1701,1300
03-01-2022,Onion,2484,Lasalgaon(Niphad),27,Maharashtra,516,Nashik,Other,500,1500,1400
03-01-2022,Onion,2073,Devala,27,Maharashtra,516,Nashik,Other,230,1825,1375
