Date,Market,Grade,Min Price (Rs./ Qtl),Max Price (Rs./Qtl),Modal Price (Rs./Qtl),Festival,is_amavasya,is_ekadashi,is_purnima,Tithi,Nakshatra,Day,Month,Year,Week,Temp Max (°C),Rain (mm),Heat Stress,Rain Alert,Agro Advisory
2022-01-01,CHANDVAD,OTHER,711.0,1930,1430.0,"Paush Amavasya, New Year's Day",1,0,0,Krishna Trayodashi,Jyeshtha,1,1,2022,52,24.7,0.0,No,No,Normal conditions
2022-01-03,CHANDVAD,OTHER,673.0,1676,1300.0,Champa Shashthi / Khandoba Festival begins,0,0,0,Shukla Pratipada,Purva Ashadha,3,1,2022,1,25.4,0.0,No,No,Normal conditions
2022-01-04,CHANDVAD,OTHER,502.0,1686,1280.0,,0,0,0,Shukla Dwitiya,Uttara Ashadha,4,1,2022,1,25.8,0.0,No,No,Normal conditions
2022-01-04,CHANDVAD,OTHER,225.0,1675,1290.0,,0,0,0,Shukla Dwitiya,Uttara Ashadha,4,1,2022,1,25.8,0.0,No,No,Normal conditions
2022-01-08,CHANDVAD,OTHER,440.0,1490,950.0,Champa Shashthi / Khandoba Festival (main day),0,0,0,Shukla Shashthi,Uttara Bhadrapada,8,1,2022,1,23.5,5.1,No,Moderate,Good moisture
2022-01-10,CHANDVAD,OTHER,215.0,1351,980.0,,0,0,0,Shukla Ashtami,Revati,10,1,2022,2,22.3,0.0,No,No,Normal conditions
2022-01-11,CHANDVAD,OTHER,421.0,1400,1020.0,,0,0,0,Shukla Navami,Ashwini,11,1,2022,2,22.6,0.9,No,No,Normal conditions
2022-01-13,CHANDVAD,OTHER,460.0,1261,990.0,"Saphala Ekadashi, Mokshada Ekadashi / Gita Jayanti",0,1,0,Shukla Ekadashi,Krittika,13,1,2022,2,22.6,0.0,No,No,Normal conditions
2022-01-13,CHANDVAD,OTHER,300.0,1181,900.0,"Saphala Ekadashi, Mokshada Ekadashi / Gita Jayanti",0,1,0,Shukla Ekadashi,Krittika,13,1,2022,2,22.6,0.0,No,No,Normal conditions
2022-01-17,CHANDVAD,OTHER,300.0,1313,950.0,"Magha Purnima / Maghi, Maghi Purnima",0,0,1,Shukla Purnima,Punarvasu,17,1,2022,3,25.2,0.0,No,No,Normal conditions
2022-01-18,CHANDVAD,OTHER,401.0,1300,990.0,,0,0,0,Krishna Pratipada,Pushya,18,1,2022,3,26.2,0.0,No,No,Normal conditions
2022-01-19,CHANDVAD,OTHER,625.0,1336,1060.0,,0,0,0,Krishna Dwitiya,Ashlesha,19,1,2022,3,26.5,0.0,No,No,Normal conditions
2022-01-20,CHANDVAD,OTHER,376.0,1450,1130.0,,0,0,0,Krishna Dwitiya,Ashlesha,20,1,2022,3,27.7,0.0,No,No,Normal conditions
2022-01-21,CHANDVAD,OTHER,625.0,1550,1180.0,,0,0,0,Krishna Tritiya,Magha,21,1,2022,3,27.6,0.0,No,No,Normal conditions
2022-01-24,CHANDVAD,OTHER,427.0,1580,1160.0,,0,0,0,Krishna Shashthi,Hasta,24,1,2022,4,20.5,0.0,No,No,Normal conditions
2022-01-25,CHANDVAD,OTHER,500.0,1780,1190.0,,0,0,0,Krishna Saptami,Chitra,25,1,2022,4,21.2,0.0,No,No,Normal conditions
2022-01-27,CHANDVAD,OTHER,500.0,1500,1180.0,Krishna Ekadashi,0,1,0,Krishna Dashami,Vishakha,27,1,2022,4,22.9,0.0,No,No,Normal conditions
2022-01-28,CHANDVAD,OTHER,325.0,1600,1090.0,Krishna Ekadashi,0,1,0,Krishna Ekadashi,Jyeshtha,28,1,2022,4,24.0,0.0,No,No,Normal conditions
2022-01-29,CHANDVAD,OTHER,500.0,1550,1060.0,Maha Shivratri,0,0,0,Krishna Dwadashi,Mula,29,1,2022,4,25.5,0.0,No,No,Normal conditions
2022-02-01,CHANDVAD,OTHER,503.0,1475,1010.0,"Magha Amavasya, Kala Ghoda Arts Festival (Mumbai)",1,0,0,Krishna Amavasya,Shravana,1,2,2022,5,28.2,0.0,No,No,Normal conditions
2022-02-02,CHANDVAD,OTHER,300.0,1352,1000.0,,0,0,0,Shukla Pratipada,Dhanishtha,2,2,2022,5,28.9,0.0,No,No,Normal conditions
2022-02-04,CHANDVAD,OTHER,503.0,1252,900.0,"Maghi Ganesh Jayanti, Vasant Panchami",0,0,0,Shukla Chaturthi,Purva Bhadrapada,4,2,2022,5,25.0,0.0,No,No,Normal conditions
2022-02-05,CHANDVAD,OTHER,300.0,1386,1090.0,Vasant Panchami,0,0,0,Shukla Panchami,Uttara Bhadrapada,5,2,2022,5,26.1,0.0,No,No,Normal conditions
2022-02-07,CHANDVAD,OTHER,450.0,1371,1100.0,,0,0,0,Shukla Saptami,Ashwini,7,2,2022,6,28.1,0.0,No,No,Normal conditions
2022-02-08,CHANDVAD,OTHER,200.0,1420,1050.0,,0,0,0,Shukla Ashtami,Bharani,8,2,2022,6,28.3,0.0,No,No,Normal conditions
2022-02-09,CHANDVAD,OTHER,401.0,1401,1090.0,,0,0,0,Shukla Ashtami,Krittika,9,2,2022,6,26.4,0.0,No,No,Normal conditions
2022-02-10,CHANDVAD,OTHER,500.0,1440,1050.0,,0,0,0,Shukla Navami,Rohini,10,2,2022,6,25.6,0.0,No,No,Normal conditions
2022-02-11,CHANDVAD,OTHER,300.0,1521,1080.0,Paush Putrada Ekadashi,0,1,0,Shukla Dashami,Mrigashira,11,2,2022,6,25.5,0.0,No,No,Normal conditions
2022-02-14,CHANDVAD,OTHER,281.0,1541,1020.0,Shimga (Holi eve),0,0,0,Shukla Trayodashi,Punarvasu,14,2,2022,7,28.0,0.0,No,No,Normal conditions
2022-02-15,CHANDVAD,OTHER,213.0,1521,1050.0,"Phalguna Purnima / Holi, Shimga (Holi eve), Holi",0,0,1,Shukla Chaturdashi,Pushya,15,2,2022,7,28.2,0.0,No,No,Normal conditions
2022-02-17,CHANDVAD,OTHER,496.0,1624,1330.0,Holi,0,0,0,Krishna Pratipada,Magha,17,2,2022,7,27.6,0.0,No,No,Normal conditions
2022-02-18,CHANDVAD,OTHER,400.0,1641,1230.0,,0,0,0,Krishna Dwitiya,Purva Phalguni,18,2,2022,7,29.4,0.0,No,No,Normal conditions
2022-02-22,CHANDVAD,OTHER,470.0,1540,1300.0,,0,0,0,Krishna Shashthi,Swati,22,2,2022,8,32.3,0.0,No,No,Normal conditions
2022-02-23,CHANDVAD,OTHER,352.0,1570,1280.0,,0,0,0,Krishna Saptami,Vishakha,23,2,2022,8,33.3,0.0,No,No,Normal conditions
2022-02-24,CHANDVAD,OTHER,375.0,1640,1330.0,,0,0,0,Krishna Ashtami,Anuradha,24,2,2022,8,32.1,0.0,No,No,Normal conditions
2022-02-25,CHANDVAD,OTHER,240.0,1595,1350.0,,0,0,0,Krishna Navami,Jyeshtha,25,2,2022,8,31.1,0.0,No,No,Normal conditions
2022-02-26,CHANDVAD,OTHER,542.0,1699,1350.0,Krishna Ekadashi,0,1,0,Krishna Dashami,Mula,26,2,2022,8,32.0,0.0,No,No,Normal conditions
2022-02-28,CHANDVAD,OTHER,175.0,1571,1270.0,Maha Shivratri,0,0,0,Krishna Trayodashi,Shravana,28,2,2022,9,32.1,0.0,No,No,Normal conditions
2022-03-02,CHANDVAD,OTHER,453.0,1580,1380.0,Phalguna Amavasya,1,0,0,Krishna Amavasya,Shatabhisha,2,3,2022,9,31.8,0.0,No,No,Normal conditions
2022-03-03,CHANDVAD,OTHER,501.0,1590,1380.0,,0,0,0,Shukla Pratipada,Purva Bhadrapada,3,3,2022,9,31.4,0.0,No,No,Normal conditions
2022-03-04,CHANDVAD,OTHER,552.0,1588,1400.0,,0,0,0,Shukla Dwitiya,Uttara Bhadrapada,4,3,2022,9,31.5,0.0,No,No,Normal conditions
2022-03-04,CHANDVAD,OTHER,522.0,1630,1450.0,,0,0,0,Shukla Dwitiya,Uttara Bhadrapada,4,3,2022,9,31.5,0.0,No,No,Normal conditions
2022-03-05,CHANDVAD,OTHER,621.0,1736,1470.0,Maghi Ganesh Jayanti,0,0,0,Shukla Tritiya,Revati,5,3,2022,9,32.0,0.0,No,No,Normal conditions
2022-03-07,CHANDVAD,OTHER,600.0,1700,1500.0,Rang Panchami,0,0,0,Shukla Panchami,Bharani,7,3,2022,10,31.7,0.2,No,No,Normal conditions
2022-03-08,CHANDVAD,OTHER,580.0,1754,1550.0,,0,0,0,Shukla Shashthi,Krittika,8,3,2022,10,31.0,1.2,No,No,Normal conditions
2022-03-09,CHANDVAD,OTHER,580.0,1800,1580.0,,0,0,0,Shukla Saptami,Krittika,9,3,2022,10,30.0,2.6,No,No,Normal conditions
2022-03-09,CHANDVAD,OTHER,600.0,1801,1580.0,,0,0,0,Shukla Saptami,Krittika,9,3,2022,10,30.0,2.6,No,No,Normal conditions
2022-03-10,CHANDVAD,OTHER,590.0,1750,1560.0,,0,0,0,Shukla Ashtami,Rohini,10,3,2022,10,31.8,0.0,No,No,Normal conditions
2022-03-11,CHANDVAD,OTHER,501.0,1700,1400.0,,0,0,0,Shukla Navami,Mrigashira,11,3,2022,10,31.4,0.6,No,No,Normal conditions
2022-03-12,CHANDVAD,OTHER,453.0,1575,1380.0,Amalaki Ekadashi,0,0,0,Shukla Navami,Ardra,12,3,2022,10,32.2,0.0,No,No,Normal conditions
2022-03-14,CHANDVAD,OTHER,236.0,1571,1360.0,Jaya Ekadashi,0,1,0,Shukla Ekadashi,Pushya,14,3,2022,11,33.8,0.0,No,No,Normal conditions
2022-03-14,CHANDVAD,OTHER,500.0,1553,1310.0,Jaya Ekadashi,0,1,0,Shukla Ekadashi,Pushya,14,3,2022,11,33.8,0.0,No,No,Normal conditions
2022-03-15,CHANDVAD,OTHER,503.0,1636,1280.0,Ellora-Ajanta Festival,0,0,0,Shukla Dwadashi,Ashlesha,15,3,2022,11,34.7,0.0,No,No,Normal conditions
2022-03-16,CHANDVAD,OTHER,512.0,1600,1250.0,Shimga (Holi eve),0,0,0,Shukla Trayodashi,Magha,16,3,2022,11,35.8,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-17,CHANDVAD,OTHER,460.0,1502,1310.0,"Chaitra Purnima / Hanuman Jayanti, Shimga (Holi eve), Holi",0,0,1,Shukla Chaturdashi,Purva Phalguni,17,3,2022,11,36.3,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-19,CHANDVAD,OTHER,271.0,1671,1250.0,Holi,0,0,0,Krishna Pratipada,Hasta,19,3,2022,11,36.5,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-21,CHANDVAD,OTHER,518.0,1600,1330.0,,0,0,0,Krishna Tritiya,Swati,21,3,2022,12,34.2,0.0,No,No,Normal conditions
2022-03-21,CHANDVAD,OTHER,500.0,1552,1250.0,,0,0,0,Krishna Tritiya,Swati,21,3,2022,12,34.2,0.0,No,No,Normal conditions
2022-03-23,CHANDVAD,OTHER,414.0,1531,1260.0,,0,0,0,Krishna Shashthi,Anuradha,23,3,2022,12,36.0,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-23,CHANDVAD,OTHER,500.0,1452,1260.0,,0,0,0,Krishna Shashthi,Anuradha,23,3,2022,12,36.0,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-24,CHANDVAD,OTHER,500.0,1550,1350.0,,0,0,0,Krishna Saptami,Jyeshtha,24,3,2022,12,35.3,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-24,CHANDVAD,OTHER,500.0,1655,1270.0,,0,0,0,Krishna Saptami,Jyeshtha,24,3,2022,12,35.3,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-24,CHANDVAD,OTHER,550.0,1700,1220.0,,0,0,0,Krishna Saptami,Jyeshtha,24,3,2022,12,35.3,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-26,CHANDVAD,OTHER,550.0,1775,1320.0,,0,0,0,Krishna Navami,Purva Ashadha,26,3,2022,12,37.1,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-28,CHANDVAD,OTHER,550.0,1700,1380.0,Krishna Ekadashi,0,1,0,Krishna Ekadashi,Shravana,28,3,2022,13,37.1,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-03-29,CHANDVAD,OTHER,550.0,1750,1430.0,,0,0,0,Krishna Dwadashi,Dhanishtha,29,3,2022,13,36.8,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-01,CHANDVAD,OTHER,527.0,2000,1350.0,"Chaitra Amavasya, Gudi Padwa",1,0,0,Krishna Amavasya,Uttara Bhadrapada,1,4,2022,13,37.0,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-04,CHANDVAD,OTHER,550.0,1700,1360.0,Chaitri Gaur begins,0,0,0,Shukla Tritiya,Bharani,4,4,2022,14,39.5,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-05,CHANDVAD,OTHER,522.0,1875,1430.0,Rang Panchami,0,0,0,Shukla Chaturthi,Krittika,5,4,2022,14,39.8,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-06,CHANDVAD,OTHER,501.0,1650,1350.0,Rang Panchami,0,0,0,Shukla Panchami,Rohini,6,4,2022,14,38.8,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-07,CHANDVAD,OTHER,520.0,1781,1410.0,,0,0,0,Shukla Shashthi,Mrigashira,7,4,2022,14,38.2,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-07,CHANDVAD,OTHER,500.0,1751,1350.0,,0,0,0,Shukla Shashthi,Mrigashira,7,4,2022,14,38.2,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-08,CHANDVAD,OTHER,521.0,1790,1330.0,,0,0,0,Shukla Saptami,Ardra,8,4,2022,14,39.5,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-09,CHANDVAD,OTHER,525.0,1786,1360.0,Ram Navami,0,0,0,Shukla Ashtami,Punarvasu,9,4,2022,14,38.0,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-11,CHANDVAD,OTHER,590.0,1790,1450.0,Amalaki Ekadashi,0,0,0,Shukla Dashami,Ashlesha,11,4,2022,15,38.8,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-11,CHANDVAD,OTHER,560.0,1752,1450.0,Amalaki Ekadashi,0,0,0,Shukla Dashami,Ashlesha,11,4,2022,15,38.8,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-12,CHANDVAD,OTHER,541.0,1801,1480.0,Kamada Ekadashi,0,1,0,Shukla Ekadashi,Ashlesha,12,4,2022,15,39.2,0.0,Yes,No,Irrigation needed | Heat stress risk
2022-04-13,CHANDVAD,OTHER,712.0,1751,1450.0,,0,0,0,Shukla Dwadashi,Magha,13,4,2022,15,38.9,0.0,Yes,No,Irrigation needed | Heat stress risk
